job_id,arrival_time,num_iteration,iteration_computing_time,iteration_networking_time,gpu_workers,ps,gpu_per_worker,cpu_per_gpu_worker,cpu_per_ps_worker,tensorsizes,profiled_network
131,3129203.0,23006,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
132,3141412.0,83368,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
133,3177287.0,10850,0.5,0.75,32,0,8.0,12.5,12.5,19.0,1000
134,3206413.0,808,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
135,3209647.0,718,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
136,3219741.0,33148,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
137,3258774.0,80,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
138,3258937.0,68,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
139,3261509.0,726,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
140,3261953.0,666,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
141,3370356.0,29196,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
142,3385085.0,12754,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
143,3498700.0,70000,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
144,3533797.0,56132,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
145,3562021.0,62,0.5,0.75,64,0,8.0,15.0,15.0,10.0,1000
146,3581236.0,52662,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
147,3613368.0,12850,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
148,3629870.0,1522,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
149,3630817.0,4682,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
150,3701496.0,11980,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
151,3711924.0,38736,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
152,3742764.0,9544,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
153,3747740.0,46962,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
154,3771273.0,266,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
155,3781186.0,21284,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
156,3825357.0,91314,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
157,3845102.0,126,0.5,0.75,16,0,8.0,15.0,15.0,19.0,1000
158,3879986.0,10784,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
159,3903495.0,202,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
160,3903706.0,218,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
161,3904229.0,224,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
162,3904360.0,1862,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
163,3906061.0,1122,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
164,3907339.0,328,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
165,3907663.0,412,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
166,3908035.0,2060,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
167,3909172.0,302,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
168,3912037.0,4370,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
169,3917651.0,544,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
170,3928841.0,160,0.5,0.75,12,0,8.0,15.0,15.0,10.0,1000
171,3929021.0,240,0.5,0.75,12,0,8.0,15.0,15.0,10.0,1000
172,3931358.0,286226,0.5,0.75,12,0,8.0,15.0,15.0,19.0,1000
173,3945837.0,358,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
174,4064620.0,18922,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
175,4080411.0,242,0.5,0.75,16,0,8.0,15.0,15.0,19.0,1000
176,4096588.0,30178,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
177,4111842.0,28350,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
178,4157881.0,63172,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
179,4181715.0,9490,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
180,4197489.0,4356,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
181,4197564.0,4904,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
182,4203599.0,32656,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
183,4203671.0,4226,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
184,4215693.0,8598,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
185,4225229.0,121266,0.5,0.75,64,0,8.0,15.0,15.0,19.0,1000
186,4292270.0,192324,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
187,4424775.0,3212,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
188,4586942.0,80,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
189,4587196.0,70,0.5,0.25,1,0,1.0,120.0,120.0,10.0,500
190,4589074.0,216,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
191,4589263.0,364,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
192,4589552.0,370,0.5,0.75,128,0,8.0,15.0,15.0,19.0,1000
